Index,Date,ISRG
1,2023-12-11,315.42999267578125
2,2023-12-12,320.7099914550781
3,2023-12-13,328.9599914550781
4,2023-12-14,326.17999267578125
5,2023-12-15,324.3500061035156
6,2023-12-18,328.4200134277344
7,2023-12-19,335.7200012207031
8,2023-12-20,325.42999267578125
9,2023-12-21,333.45001220703125
10,2023-12-22,336.260009765625
11,2023-12-26,337.3900146484375
12,2023-12-27,337.4700012207031
13,2023-12-28,338.3900146484375
14,2023-12-29,337.3599853515625
15,2024-01-02,330.9800109863281
16,2024-01-03,322.1300048828125
17,2024-01-04,323.2699890136719
18,2024-01-05,322.5
19,2024-01-08,328.8599853515625
20,2024-01-09,330.55999755859375
21,2024-01-10,364.45001220703125
22,2024-01-11,362.30999755859375
23,2024-01-12,363.7099914550781
24,2024-01-16,362.3299865722656
25,2024-01-17,358.8800048828125
26,2024-01-18,371.92999267578125
27,2024-01-19,374.82000732421875
28,2024-01-22,375.80999755859375
29,2024-01-23,371.4100036621094
30,2024-01-24,370.07000732421875
31,2024-01-25,374.9700012207031
32,2024-01-26,374.760009765625
33,2024-01-29,379.1600036621094
34,2024-01-30,377.2900085449219
35,2024-01-31,378.2200012207031
36,2024-02-01,383.8299865722656
37,2024-02-02,383.7699890136719
38,2024-02-05,383.94000244140625
39,2024-02-06,389.69000244140625
40,2024-02-07,391.3800048828125
41,2024-02-08,386.94000244140625
42,2024-02-09,388.2200012207031
43,2024-02-12,382.1300048828125
44,2024-02-13,378.8900146484375
45,2024-02-14,381.760009765625
46,2024-02-15,380.1700134277344
47,2024-02-16,378.6300048828125
48,2024-02-20,377.6400146484375
49,2024-02-21,380.2300109863281
50,2024-02-22,389.0799865722656
51,2024-02-23,389.7699890136719
52,2024-02-26,388.2699890136719
53,2024-02-27,386.4599914550781
54,2024-02-28,386.5899963378906
55,2024-02-29,385.6000061035156
56,2024-03-01,397.8999938964844
57,2024-03-04,400.5899963378906
58,2024-03-05,387.32000732421875
59,2024-03-06,388.1600036621094
60,2024-03-07,392.67999267578125
61,2024-03-08,391.8500061035156
62,2024-03-11,378.8999938964844
63,2024-03-12,389.3999938964844
64,2024-03-13,382.989990234375
65,2024-03-14,384.30999755859375
66,2024-03-15,396.2799987792969
67,2024-03-18,392.6199951171875
68,2024-03-19,390.5299987792969
69,2024-03-20,390.3699951171875
70,2024-03-21,391.9599914550781
71,2024-03-22,394.07000732421875
72,2024-03-25,391.7099914550781
73,2024-03-26,397.6300048828125
74,2024-03-27,400.1000061035156
75,2024-03-28,399.0899963378906
76,2024-04-01,394.8699951171875
77,2024-04-02,382.3599853515625
78,2024-04-03,383.4200134277344
79,2024-04-04,378.9200134277344
80,2024-04-05,388.3900146484375
81,2024-04-08,386.92999267578125
82,2024-04-09,390.9599914550781
83,2024-04-10,388.4599914550781
84,2024-04-11,392.260009765625
85,2024-04-12,384.79998779296875
86,2024-04-15,377.3599853515625
87,2024-04-16,378.54998779296875
88,2024-04-17,374.1700134277344
89,2024-04-18,372.6300048828125
90,2024-04-19,366.3399963378906
91,2024-04-22,368.92999267578125
92,2024-04-23,377.0799865722656
93,2024-04-24,375.010009765625
94,2024-04-25,373.1199951171875
95,2024-04-26,375.3299865722656
96,2024-04-29,374.1400146484375
97,2024-04-30,370.6199951171875
98,2024-05-01,371.70001220703125
99,2024-05-02,377.6499938964844
100,2024-05-03,381.3599853515625
101,2024-05-06,383.04998779296875
102,2024-05-07,388.6499938964844
103,2024-05-08,380.3699951171875
104,2024-05-09,385.45001220703125
105,2024-05-10,386.70001220703125
106,2024-05-13,380.8800048828125
107,2024-05-14,384.19000244140625
108,2024-05-15,399.3900146484375
109,2024-05-16,396.42999267578125
110,2024-05-17,398.82000732421875
111,2024-05-20,400.0299987792969
112,2024-05-21,402.1099853515625
113,2024-05-22,400.8999938964844
114,2024-05-23,398.3900146484375
115,2024-05-24,404.8500061035156
116,2024-05-28,401.0299987792969
117,2024-05-29,398.3999938964844
118,2024-05-30,403.3900146484375
119,2024-05-31,402.1199951171875
120,2024-06-03,403.8599853515625
121,2024-06-04,406.6099853515625
122,2024-06-05,417.239990234375
123,2024-06-06,418.1499938964844
124,2024-06-07,417.6099853515625
125,2024-06-10,418.3800048828125
126,2024-06-11,418.7799987792969
127,2024-06-12,428.1000061035156
128,2024-06-13,422.8999938964844
129,2024-06-14,425.7799987792969
130,2024-06-17,430.0
131,2024-06-18,435.0
132,2024-06-20,432.54998779296875
133,2024-06-21,432.55999755859375
134,2024-06-24,429.0400085449219
135,2024-06-25,442.30999755859375
136,2024-06-26,442.55999755859375
137,2024-06-27,445.1099853515625
138,2024-06-28,444.8500061035156
139,2024-07-01,436.239990234375
140,2024-07-02,438.80999755859375
141,2024-07-03,434.80999755859375
142,2024-07-05,443.760009765625
143,2024-07-08,444.5299987792969
144,2024-07-09,442.29998779296875
145,2024-07-10,444.739990234375
146,2024-07-11,443.5
147,2024-07-12,444.1600036621094
148,2024-07-15,437.25
149,2024-07-16,438.010009765625
150,2024-07-17,426.2300109863281
151,2024-07-18,416.1400146484375
152,2024-07-19,455.010009765625
153,2024-07-22,461.1199951171875
154,2024-07-23,455.05999755859375
155,2024-07-24,454.0199890136719
156,2024-07-25,436.739990234375
157,2024-07-26,441.29998779296875
158,2024-07-29,443.6600036621094
159,2024-07-30,432.69000244140625
160,2024-07-31,444.6099853515625
161,2024-08-01,450.94000244140625
162,2024-08-02,449.7300109863281
163,2024-08-05,438.0
164,2024-08-06,447.6600036621094
165,2024-08-07,449.260009765625
166,2024-08-08,463.6099853515625
