Index,Date,AAPL,HII,MCHP,MSFT,NVDA,NVO,PFE,TSMC34.SA
244,2024-12-09,1800.0,1200.0,1200.0,1800.0,1800.0,500.0,1200.0,500.0
245,2024-12-10,1807.440760650171,1185.9042425513421,1200.969760554525,1789.1439744545107,1751.5021789476416,491.4926208206091,1175.6321526942907,478.9788829570908
246,2024-12-11,1798.103383536759,1189.257465081258,1193.2116021303361,1811.9860148176044,1806.4836828458276,502.745771517358,1159.999961999185,478.32090480128284
247,2024-12-12,1808.8267966969036,1185.0970624797865,1192.8236831109284,1814.2863897085656,1780.9379566039636,488.8818816169096,1166.4368031463505,470.12960884634265
248,2024-12-13,1810.0669049202127,1193.107370078024,1162.3727429733146,1805.0446169575846,1740.8688441046618,481.4097730701609,1176.091933325816,500.2960600521021
249,2024-12-16,1831.2947838502091,1231.1720834512453,1145.8865915824235,1822.4788427212989,1711.692271298438,486.3611868502428,1160.9195232622355,513.1587599691873
250,2024-12-17,1849.0941937571238,1201.4903316522477,1130.564123261768,1834.0612635503776,1690.814804620222,486.18113231806797,1215.1724100635804,502.3685808101885
251,2024-12-18,1809.483304936835,1207.389407139392,1088.8637535252965,1765.1720679788955,1671.6231587991363,476.95353500997766,1190.3447821263458,508.2571038098581
252,2024-12-19,1822.1762428167744,1164.9780115519889,1085.954471861721,1763.7191542521225,1694.5752536096309,465.61037421808663,1184.8275899364196,493.78248792242647
253,2024-12-20,1856.4620461507411,1182.613176392707,1076.6445633719138,1761.9838355770162,1746.7041190926468,382.6071236894619,1211.954033337092,493.28900430557053
254,2024-12-23,1862.1520068507791,1182.364835159282,1122.4179718301834,1756.535624630906,1811.1519424094752,399.3067952024104,1228.0459169695343,523.0607087751938
255,2024-12-26,1889.5075186407676,1191.182417579641,1134.0553204484486,1768.0776491132544,1814.523386257438,394.53547029639384,1221.149382885032,513.4219411921733
256,2024-12-27,1864.486295473974,1182.4268967799967,1131.533883816293,1737.4871460726836,1776.6587021817618,393.2751229130605,1223.908066674184,511.77709619602484
257,2024-12-30,1839.756816643712,1169.9456889755822,1107.8713415483428,1714.4836434822607,1782.8831801774904,385.89305880334445,1214.712629432055,508.2571038098581
258,2025-01-02,1778.8450293265578,1164.9780115519889,1103.216461291427,1689.2605586943384,1793.5163171541726,393.950284481353,1223.4482860426588,510.0993221740747
259,2025-01-03,1775.2705211697378,1167.8965184852038,1118.5388556240953,1708.5108958266208,1873.3953373026777,394.53547029639384,1222.528724779608,523.6528288793982
260,2025-01-06,1787.2340425531916,1159.3272772982696,1130.564123261768,1726.671516873925,1937.713360328159,382.74215600312044,1236.3217929486125,550.1677723825264
261,2025-01-07,1766.881507943104,1173.9198119643434,1114.6598134059946,1704.555871794421,1817.2466201138566,375.13501514271326,1247.356265022654,532.0086695699761
262,2025-01-08,1770.4559047896087,1177.7076553403947,1093.5187077701999,1713.3940505568764,1816.8576149724108,385.48792752047837,1234.9425387482252,521.8764183700996
263,2025-01-10,1727.7811995393238,1179.9431054434833,1070.4380070373675,1690.7538687678425,1762.3947186407202,388.2787212563527,1228.5056976010596,521.6461661729154
264,2025-01-13,1709.9087700655396,1211.7360893535738,1084.4027957840904,1683.6510086804935,1727.6420756966104,380.89665714663676,1232.1838549590736,502.993579743509
265,2025-01-14,1701.738592918883,1225.955970043661,1103.216461291427,1677.5167987975244,1708.5800323005737,365.4123107985053,1214.25284880053,502.6646408622907
266,2025-01-15,1735.2218488791793,1233.8421544004689,1105.543901419885,1720.4565142974948,1766.673973062922,373.24449406771316,1205.5171921899264,511.0533603819847
267,2025-01-16,1665.118500961721,1248.2484094538324,1089.8335140798215,1713.4747200907439,1732.0511304101592,373.9196899778962,1217.9310061585436,536.0220953763129
268,2025-01-17,1677.6656223285524,1257.7490487043174,1124.3575669272216,1731.433605723582,1785.7360164589584,354.2041823202727,1209.1953495479402,526.2845909125728
269,2025-01-21,1624.1215760946998,1295.3790464808378,1134.8310844992761,1729.29469305995,1826.1941340997064,364.7371148883222,1224.827540243046,540.6605703126561
