Index,Date,BRK-B,DECK,FLUT,GOLD,GOOG,KB,MU,NKE,NTR,PDS,TGT
251,2024-12-09,1500.0,1000.0,1000.0,500.0,1000.0,500.0,1000.0,1000.0,500.0,1500.0,500.0
252,2024-12-10,1495.537527009705,1002.8280429511248,1011.748683597824,501.7564246548709,1053.2467100552744,502.39397042996427,954.094522128843,988.4080173498958,497.64248105789267,1503.9708765150783,499.1130525305466
253,2024-12-11,1491.9805748544154,1016.8692326718111,1021.9137170292521,516.1006803137387,1110.7284016630097,514.9623804180785,992.6084211390177,1015.5847384593615,490.774930978846,1527.2998588801818,502.55008676047066
254,2024-12-12,1483.0556288738253,1010.5680456054196,1035.4670200076046,502.63466490017294,1093.3370875754517,520.0923589878032,955.4561189977786,1004.1215829126718,491.28742829651475,1522.0881012053596,500.0
255,2024-12-13,1480.6950181617322,1025.2046725583534,1022.7975938857841,491.21782088991216,1080.6324013955716,507.8659540940841,996.8877679850807,994.9768238960029,493.8499539858974,1497.7663760431958,497.15430167830897
256,2024-12-16,1471.964182848367,1047.481974301792,1016.3523962178074,478.62998988591534,1118.91584885821,506.3269637847068,1052.9080184550915,994.3327866452184,480.62731204443384,1465.751225559886,489.50404139689715
257,2024-12-17,1473.451640950594,1043.760813355903,1006.3715787283749,475.4098314888743,1113.0434123303762,498.6320122378203,1056.2147325078024,1004.6367930600417,475.3997768425504,1450.8603676234695,486.36267512108964
258,2024-12-18,1444.1222789967323,999.652655305588,977.4971066632783,454.03982137478965,1073.6871109159702,499.0595022981137,1010.5038108759014,990.4688579393755,460.43459709976645,1407.6770973561383,483.03645293195126
259,2024-12-19,1453.0148567521828,1018.506552572868,962.5073913977336,445.8430799258368,1071.1461909118277,506.3269637847068,847.0141664693525,993.0448104099376,451.41453482588776,1386.3336005851559,482.03858063592014
260,2024-12-20,1465.4968535716757,1046.7377723954996,975.1768175195542,452.5761155504862,1089.5539246965432,505.12997856972464,876.4832037936537,990.9840680867455,456.94959969920353,1404.20259223959,485.9191449934669
261,2024-12-23,1469.2155481690504,1030.2653969355688,961.365679659604,456.38173952652863,1106.6628951927148,509.4049444034614,872.5928952246387,988.6656715567246,455.8220821397089,1438.6995997155514,487.5452905446595
262,2024-12-24,1483.152634865631,1032.051557217884,963.0598144330662,459.8946167541371,1115.5844184936864,509.14842427496455,868.3135483785755,989.0520546006802,456.1295727101024,1451.1086006593164,489.31924187646234
263,2024-12-26,1484.510718750913,1039.0969461905681,954.9573476590919,460.7728290815725,1112.9305438211557,498.6320122378203,873.5654538165264,990.9840680867455,455.30954572100126,1442.6704762306297,504.0653638779815
264,2024-12-27,1476.2002756299107,1027.5861943657026,964.2015261711958,459.0164044267016,1095.6520982428183,493.331063736299,861.9918062291091,984.2864344372241,454.1820672625456,1431.7504948092915,500.7761354286678
265,2024-12-30,1462.1338147163847,1020.8880743802171,950.3536350391086,452.5761155504862,1088.0293382303907,487.34610504598743,829.7023712487728,961.4889504472591,452.8495429557758,1474.189349988573,499.1130525305466
266,2024-12-31,1465.7555033219535,1007.640750497718,951.8636662659023,453.74707462635564,1075.3246520505106,486.4911249254004,818.5178361398678,974.6264652731852,458.692098399485,1515.6353676976303,499.59346361220184
267,2025-01-02,1458.7061380944274,1014.8349798516607,937.8315029941552,467.505864706222,1076.3975060022783,486.1491198310053,849.3483961316402,948.866547502415,464.12464034864365,1565.7677428712213,507.0219870262503
268,2025-01-03,1466.660925473346,1028.2808080473133,945.6394378120586,463.70024073017953,1090.5138239799228,491.9630759741193,874.0517702132023,944.2297544423732,480.0123309036469,1580.9067391703209,501.8478824185559
269,2025-01-06,1459.7085662376253,1034.3339025758698,939.599312904883,453.74707462635564,1117.786560651832,501.62447527527564,965.3764095588405,927.3570397477307,496.5149634983981,1571.7241049804204,514.7830593484478
270,2025-01-07,1464.5914314202835,1017.613510285317,927.5928506231254,455.7962460296606,1110.7284016630097,498.4610096906227,991.1496203519182,928.5161888795973,494.4649742277232,1644.6889017742574,514.6352535678376
271,2025-01-08,1461.099018348047,1029.6204471858532,942.3984061443379,463.70024073017953,1103.2749444144133,497.8625170831316,966.8352845474041,918.2122807310619,490.2624336611773,1591.3303491931288,510.8286202970439
272,2025-01-10,1431.4140006521013,1029.5211950292764,935.4744043806303,460.18736350257103,1090.7396471575314,504.78797347532947,966.154411911472,917.0530333329076,496.8224931698305,1606.9656222175952,523.3941981860661
273,2025-01-13,1435.4560814500333,1015.0830723894961,945.0501491092614,452.28336880205217,1085.770675658467,520.5198490480967,924.5282808863781,928.3874600424706,524.8052690057639,1592.571135679709,512.8613022360348
274,2025-01-14,1455.2460932473305,1022.7734868191092,956.0990593972216,456.0889927780946,1078.7690370834227,522.7428169308633,946.8974995071168,916.666650288952,529.8277974603719,1617.3891375672392,504.36103183209804
275,2025-01-15,1482.667604906602,1010.8161381432548,940.2990862147468,463.70024073017953,1112.252901969995,537.1922223227501,1003.5985484115953,915.3786740536711,533.4153568861309,1633.2726436275527,497.1912390252375
276,2025-01-16,1496.5723233780427,1033.0935155939067,948.5857689307169,461.0655758300066,1097.7413718917435,529.1552656814684,997.8603265769684,915.893884201041,527.8802920128152,1638.4844013023744,492.4606645451659
277,2025-01-17,1513.1934069872734,1041.4785437051305,968.9894547331752,468.38407703365743,1115.471463825298,523.768799598648,1028.4964045309493,912.4162402728658,529.1102933954279,1622.352851552542,493.79114214224205
