Index,Date,AI,ANET,BORR,CTRA,ETH,GEO,INO,LINK,PATH,RGTI
251,2024-12-09,1000.0,1500.0,750.0,750.0,750.0,750.0,1250.0,750.0,1000.0,1500.0
252,2024-12-10,1001.199597809368,1483.8557485457548,778.9255913371695,748.4915182065092,731.5156030307069,744.4030093542777,1216.7875422026814,730.5755575598725,949.0322605256112,2177.852374409141
253,2024-12-11,916.0268720159925,1518.5518109512066,797.5206143396357,764.7827763200295,768.9093358828047,740.9381620479096,1216.7875422026814,699.2805967888206,944.5161511821132,2476.5102217570247
254,2024-12-12,917.7063272537969,1513.5951534328026,762.3966820016441,774.1351332688855,779.1076266606497,740.1386210045315,1135.265734215797,639.9280565914472,918.0644865958922,2003.35572832399
255,2024-12-13,946.7370152483553,1591.3425890644671,770.6611366694069,764.1793836026332,785.6940582468624,730.5437217998431,700.4830942217585,540.6475215513249,903.8709825085054,2402.6846253291856
256,2024-12-16,1030.2302858039263,1650.254920606612,787.1900460049324,746.0780048796206,810.9773157347188,739.0724984993356,649.1546391016388,711.1511151197452,907.0968012655934,2828.859295588808
257,2024-12-17,1028.3109476136267,1599.5562533160712,787.1900460049324,739.7425539750495,788.0311817467705,733.7420384799123,591.7874702163931,690.6475112598752,897.4193449943297,3734.8995425669987
258,2024-12-18,952.2552383902051,1530.4475296881556,778.9255913371695,716.2107558808636,739.164341376293,702.8251975264927,537.4396222205662,656.1151176868444,836.7742107760522,3587.248349711321
259,2024-12-19,850.5278431712801,1544.6091613529093,756.1983410008221,714.0989389126732,676.2748005307725,746.2686729028519,558.5749044396421,600.0000102914497,821.9354691043976,2506.7114566479795
260,2024-12-20,871.8809953577478,1597.5736335265797,743.8016097391425,714.4006352713714,688.8101742841202,733.2089772273142,555.5555835502232,675.5396115842206,854.8387096774194,3144.2954111941954
261,2024-12-23,850.7677261237751,1601.5388731055627,768.5950230024662,725.8648091884178,680.9490070061834,746.5352035291509,540.4589431099851,629.1366996802652,841.9354961764428,3677.8525344216177
262,2024-12-24,856.7658066940614,1623.6310919729576,772.7272503363475,746.0780048796206,701.9830374565457,749.466989582921,552.5362626608045,641.3309355627632,847.0967815768335,3808.725138994838
263,2024-12-26,895.3934602104563,1626.605021657195,772.7272503363475,741.5526745845418,666.501448666439,753.9979085589662,561.5942253290608,660.431660451317,850.3226003339214,5181.208156070623
264,2024-12-27,857.2456641224979,1600.6892097799735,743.8016097391425,743.362795194034,667.5637554258126,737.2068349507614,564.6135462184797,679.8561543486933,830.9677493187689,5731.543867580502
265,2024-12-30,846.6890752672347,1578.3138058189404,768.5950230024662,769.9114993325047,680.0991291791604,734.0085691062113,537.4396222205662,705.7554109355299,821.9354691043976,5704.698254338552
266,2024-12-31,826.0556634616987,1565.285130618089,805.785118267434,770.5148920499009,669.0510010986977,745.7356116502538,552.5362626608045,672.8417594921128,820.000002461095,5120.805686288712
267,2025-01-02,831.8137695560436,1583.1288167681878,836.7768725315796,788.6162132302168,691.7847466787008,753.9979085589662,549.5169417713856,660.431660451317,834.1935680758569,6711.4097109865315
268,2025-01-03,882.4375842130108,1631.4199245617674,834.7107096046035,791.6331192745016,721.7422511663734,781.1833715797185,591.7874702163931,712.2302250822389,856.7741763207221,6382.55078876017
269,2025-01-06,886.0364691645611,1684.9509830120637,838.8429369384849,791.6331192745016,738.31446354927,775.0533196813982,582.7294715549925,734.8921003243453,890.9677690075289,6546.98024987335
270,2025-01-07,859.4049767887388,1632.694527594826,838.8429369384849,795.2534180361828,678.8243934874364,764.6588794333317,688.4058106640833,726.2590147953998,851.6128909203314,6171.141024436146
271,2025-01-08,798.9443136574398,1635.81010384822,797.5206143396357,819.0868549463701,657.152995191212,828.0916942624458,631.0386417788376,701.438868171057,866.4516325919859,3369.1276621142406
272,2025-01-10,777.8310444234672,1619.2409126865048,818.181800269078,837.7916263867791,653.116156561663,824.6268977915967,597.8261119952307,690.6475112598752,836.7742107760522,2996.6445383634714
273,2025-01-13,742.8022758586227,1595.1661820742934,793.3883870057543,863.1335450904571,619.3342829011973,817.1641927617812,573.6715088867361,687.4100784578962,827.741930561681,2030.2015015784166
274,2025-01-14,741.3627493350365,1627.3131464583025,785.1239323379916,870.6757814298209,645.2549892837263,844.0831759917536,564.6135462184797,725.1798533756572,856.7741763207221,3003.355781661482
275,2025-01-15,761.2763749979179,1644.1654146689807,789.2561596718731,876.7095359756939,687.9603775059077,902.1854799659253,561.5942253290608,671.223017362499,862.5806377780053,3671.140971098653
276,2025-01-16,775.1919658522362,1672.913509661283,723.1404730697357,899.9396377111816,668.2011637960799,906.1833885248915,576.6908297761549,690.6475112598752,861.2903471915953,3771.8121807684415
277,2025-01-17,767.9941959491357,1698.6876749693477,716.9421320689136,889.0787989688348,705.1699577346662,942.1641588714352,628.0193208894189,806.1151073953946,840.0000295331402,3298.6578473478835
278,2025-01-21,787.1881269928086,1720.6382472675862,750.0,879.4247456612807,663.5269167962638,929.3709938221966,664.2512435487329,1023.0215614105214,859.99999507781,4691.275234367608
