Index,Date,BRK-B,DECK,FLUT,GOLD,GOOG,KB,MU,NKE,NTR,PDS,TGT
1,2023-12-11,357.05999755859375,116.30999755859375,166.00999450683594,16.670000076293945,134.6999969482422,38.900001525878906,77.79000091552734,118.61000061035156,54.58000183105469,51.52000045776367,136.75999450683594
2,2023-12-12,360.0199890136719,117.62666320800781,164.75,16.34000015258789,133.63999938964844,39.459999084472656,78.16000366210938,119.63999938964844,52.61000061035156,49.72999954223633,135.66000366210938
3,2023-12-13,362.0299987792969,119.87833404541016,165.0500030517578,17.43000030517578,133.97000122070312,40.119998931884766,79.79000091552734,121.16999816894531,55.2599983215332,52.31999969482422,138.3800048828125
4,2023-12-14,358.1199951171875,116.3066635131836,168.5469970703125,17.649999618530273,133.1999969482422,40.33000183105469,82.19000244140625,121.0199966430664,55.459999084472656,54.65999984741211,141.13999938964844
5,2023-12-15,356.5,117.13500213623047,170.0,17.510000228881836,133.83999633789062,40.08000183105469,81.41000366210938,121.55000305175781,54.88999938964844,53.79999923706055,138.3699951171875
6,2023-12-18,359.6499938964844,117.78666687011719,169.25,17.729999542236328,137.19000244140625,39.9900016784668,81.55999755859375,121.13999938964844,54.939998626708984,53.790000915527344,137.72000122070312
7,2023-12-19,361.79998779296875,119.15499877929688,177.0050048828125,18.09000015258789,138.10000610351562,40.16999816894531,82.16999816894531,122.63999938964844,56.970001220703125,54.52000045776367,139.5800018310547
8,2023-12-20,355.3500061035156,116.79833221435547,179.38600158691406,17.770000457763672,139.66000366210938,40.099998474121094,78.69000244140625,121.43000030517578,55.47999954223633,53.900001525878906,136.89999389648438
9,2023-12-21,356.1400146484375,117.3550033569336,179.0,17.969999313354492,141.8000030517578,40.20000076293945,85.4800033569336,122.52999877929688,56.68000030517578,54.0,139.3699951171875
10,2023-12-22,356.4700012207031,115.61499786376953,177.78500366210938,18.15999984741211,142.72000122070312,40.54999923706055,86.48999786376953,108.04000091552734,57.06999969482422,53.9900016784668,140.1999969482422
11,2023-12-26,356.8299865722656,114.663330078125,180.0,18.170000076293945,142.82000732421875,40.630001068115234,87.05999755859375,108.0199966430664,57.369998931884766,55.209999084472656,141.02999877929688
12,2023-12-27,356.95001220703125,114.62666320800781,179.25,18.469999313354492,141.44000244140625,40.4900016784668,86.66000366210938,107.12999725341797,57.4900016784668,54.59000015258789,142.3800048828125
13,2023-12-28,357.57000732421875,112.586669921875,174.9600067138672,18.09000015258789,141.27999877929688,41.900001525878906,86.0,108.81999969482422,56.540000915527344,54.310001373291016,142.5399932861328
14,2023-12-29,356.6600036621094,111.40499877929688,179.0,18.09000015258789,140.92999267578125,41.369998931884766,85.33999633789062,108.56999969482422,56.33000183105469,54.290000915527344,142.4199981689453
15,2024-01-02,362.4599914550781,112.33000183105469,174.27999877929688,17.8799991607666,139.55999755859375,40.689998626708984,82.33999633789062,106.55000305175781,57.029998779296875,52.400001525878906,143.10000610351562
16,2024-01-03,366.75,113.0566635131836,169.25,17.329999923706055,140.36000061035156,40.18000030517578,82.26000213623047,104.04000091552734,56.810001373291016,52.93000030517578,138.6699981689453
17,2024-01-04,363.67999267578125,112.03666687011719,170.74000549316406,17.350000381469727,138.0399932861328,39.40999984741211,82.70999908447266,102.30000305175781,55.790000915527344,52.02000045776367,140.25
18,2024-01-05,365.5899963378906,108.71499633789062,167.0500030517578,17.489999771118164,137.38999938964844,39.2599983215332,83.44999694824219,102.08000183105469,56.18000030517578,54.81999969482422,140.75
19,2024-01-08,368.17999267578125,114.12333679199219,171.2899932861328,17.690000534057617,140.52999877929688,39.68000030517578,84.94999694824219,103.62000274658203,55.7400016784668,53.58000183105469,141.72999572753906
20,2024-01-09,366.8999938964844,116.15333557128906,168.16299438476562,17.399999618530273,142.55999755859375,38.58000183105469,83.33000183105469,102.73999786376953,53.25,52.599998474121094,143.77000427246094
21,2024-01-10,367.9200134277344,115.98500061035156,162.84500122070312,17.34000015258789,143.8000030517578,38.779998779296875,82.37999725341797,103.7699966430664,53.290000915527344,53.63999938964844,144.08999633789062
22,2024-01-11,363.3399963378906,117.28333282470703,158.427001953125,17.149999618530273,143.6699981689453,38.79999923706055,83.38999938964844,105.9000015258789,52.880001068115234,54.70000076293945,142.02000427246094
23,2024-01-12,363.6199951171875,117.77999877929688,158.63400268554688,17.639999389648438,144.24000549316406,38.540000915527344,82.38999938964844,105.05999755859375,51.22999954223633,54.93000030517578,140.91000366210938
24,2024-01-16,361.1000061035156,120.29666900634766,166.75,15.960000038146973,144.0800018310547,37.7400016784668,84.61000061035156,101.72000122070312,49.439998626708984,54.45000076293945,141.07000732421875
25,2024-01-17,359.2900085449219,120.74833679199219,164.75,15.5600004196167,142.88999938964844,36.79999923706055,83.27999877929688,100.81999969482422,48.91999816894531,53.20000076293945,138.74000549316406
26,2024-01-18,362.3800048828125,122.78500366210938,192.4250030517578,15.529999732971191,144.99000549316406,36.93000030517578,84.81999969482422,100.94000244140625,49.9900016784668,53.66999816894531,137.39999389648438
27,2024-01-19,366.989990234375,124.875,199.5850067138672,15.609999656677246,147.97000122070312,37.5099983215332,87.51000213623047,101.77999877929688,51.45000076293945,55.61000061035156,138.13999938964844
28,2024-01-22,368.05999755859375,127.94999694824219,198.24000549316406,15.59000015258789,147.7100067138672,36.959999084472656,89.23999786376953,100.55999755859375,51.04999923706055,57.59000015258789,140.36000061035156
29,2024-01-23,372.1400146484375,125.69166564941406,198.0,15.989999771118164,148.67999267578125,38.18000030517578,87.52999877929688,101.9000015258789,51.47999954223633,58.09000015258789,140.8800048828125
