Index,Date,AVGO,BLBD,ELF,FTCI,LEAT,LLY,LNTH,NXT,PRKR,QXO,TMDX,TREE,TSSI,UBER,ZETA
251,2024-12-09,200.0,800.0,200.0,1000.0,1000.0,200.0,1000.0,800.0,1000.0,400.0,1000.0,800.0,400.0,200.0,1000.0
252,2024-12-10,192.030842980292,821.3496960380401,195.9276655650776,1121.6617506687746,973.3333587646484,199.0044550847628,982.7176664238907,770.7953529724102,947.9167151730519,403.4653314596623,987.8293453795624,804.2812204804051,381.2499689559154,197.62701915228766,934.2620690456904
253,2024-12-11,204.76136632246988,848.858038057306,197.1664453964922,1032.6409902818602,968.0000305175781,198.1209120106518,987.2542635359944,764.1200005331624,989.5833430346104,405.9405884501069,964.4903227723456,851.9581246276703,385.8333275384375,186.12717460671885,937.3095920872847
254,2024-12-12,201.92243343828758,865.2809895933261,187.25614156453312,949.5549425375831,962.66663869222,194.71613503262796,992.7630356913585,734.4980544545817,979.1666860692208,395.79207727972425,940.864870132055,795.3295709091989,392.08331139551353,186.82689943090566,946.0165516680166
255,2024-12-13,251.25740469950912,897.3055728056045,200.24205917815686,896.1424580064923,959.9999745686849,196.40109966272604,1004.7525902280132,739.9218280467695,916.66668218871,399.504939159591,920.1031716172525,774.507392773696,371.2499788900225,182.32431473261198,971.7022360487242
256,2024-12-16,279.4232665575852,911.0597829704558,199.72945688121274,991.0979310360441,1000.0,193.88237224244077,1009.7213383892698,741.3820564193251,885.4167112925411,419.8019615003563,919.5304207921549,780.7345820721295,399.5833238131474,183.29784593195077,937.3095920872847
257,2024-12-17,268.5034005252148,910.8544530055153,192.06890636768162,976.2611494294508,959.9999745686849,193.78779426022845,1000.8641372809722,745.1369521134617,885.4167112925411,402.97031783085356,940.7933172443114,787.350979980959,389.16665756040186,185.67082677966312,885.5028628913562
258,2024-12-18,249.93851801294312,877.5981249349045,181.11916683495946,893.1751016851737,957.3333104451497,190.3257935014475,984.5538963394564,729.9087993878977,916.66668218871,395.79207727972425,871.706819307001,760.6908211574187,394.58332878020093,186.27928668060167,841.9678158781588
259,2024-12-19,244.0147584056365,836.1303210962834,183.81032346219584,890.207745363855,948.0000178019205,188.54126830350174,993.0870665695562,705.9191968505221,927.0833391540996,399.0099255307823,866.695331518184,761.8584469886069,422.0833213296206,183.1761516306816,830.2133332558326
260,2024-12-20,246.77544458895412,808.2113974575734,183.19805996336632,922.8486648983602,948.0000178019205,191.08489346115388,964.4091801277103,733.2464756075217,895.8333682579307,382.1782110438792,883.4479381188779,770.810022325861,419.1666674945089,184.75814273095892,844.5798954487273
261,2024-12-23,259.6959907604767,803.4898262996204,183.61097933154426,931.7508046096713,941.3333257039388,198.18313356785413,983.0416973020886,759.322095940983,916.66668218871,374.5049568639411,897.0504698020596,744.7336393009389,421.666645142768,188.2263490792792,815.4114106284245
262,2024-12-24,267.88866592785956,797.536510283335,187.8257117427381,1059.347197173728,958.6666742960613,198.03130142326495,986.1741331391127,766.4146678547435,906.2500252233203,388.1188230997862,914.9485234324237,748.0418011383777,449.1666376921877,187.73958347960982,815.8467710629379
263,2024-12-26,274.2371714124621,821.5550260029804,186.38756605379118,1246.290786911513,933.3333333333334,197.65051339240787,1007.2369643086416,771.212572446923,885.4167112925411,393.0693134748753,896.334503960425,784.0428181435202,507.916628999844,187.2832472579614,825.8598119472103
264,2024-12-27,270.20229876118486,809.6483939704096,181.91655422100607,1572.700406740695,953.3333460489908,194.92022356314877,994.491227844636,776.6362664626325,885.4167112925411,385.1485288747328,873.7113925743178,763.8044158066353,498.74999130765633,185.97506253283603,769.2642840446588
265,2024-12-30,263.3061345891008,793.6361023642703,180.9910216924436,1640.9496728783788,933.3333333333334,192.59812598574115,962.7348832425768,771.212572446923,916.66668218871,379.7029776592347,848.7972778878199,754.2689904368111,494.1666327251342,184.8798370322281,786.2429258081218
266,2024-12-31,259.1259563817279,793.0202690903225,178.76975231464607,1635.0149602357415,933.3333333333334,192.1401686407757,966.2993877200868,762.0339031605987,916.66668218871,393.56435070948413,892.7548932343522,754.0744232485891,494.1666327251342,183.51080515646817,783.1954858030399
267,2025-01-02,259.28243272881446,793.4308507097667,175.12457921821687,1691.3946595934403,933.3333333333334,193.65090987254533,959.1704611737335,823.9896025373756,895.8333682579307,380.445545314048,952.176453135371,755.8258248783955,569.5833138790404,192.1813210272689,815.8467710629379
268,2025-01-03,259.91952596279424,857.4800954447602,178.5419242433641,1798.219628655622,933.3333333333334,194.6240483432333,985.2019580958522,826.7014893334695,947.9167151730519,394.8019792047064,989.2611678217816,778.2048374554829,572.499967714152,196.50136427365877,810.1872514872878
269,2025-01-06,264.2338218806291,870.2078124057828,179.02605346311813,1700.2967993047516,938.6666615804037,190.42284758566763,1013.3937982204013,849.2307839218114,947.9167151730519,398.5148646903733,1082.9037975247727,775.8695857931062,564.9999950329465,201.73410317416014,826.2951723817238
270,2025-01-07,255.54934198071936,826.8924304348812,181.88807028037562,1617.2106808131193,940.0000254313151,192.46122640724815,1046.878334975738,916.1929578397851,937.4999961194892,393.0693134748753,1126.4318770627442,766.334234657234,525.4166314833708,201.2473491798981,791.4671679857709
271,2025-01-08,256.2981942885366,827.0977603998217,181.68872614972406,1436.201874465327,940.0000254313151,195.92820975166444,1015.3380658982554,887.1968807612127,885.4167112925411,378.21781874380787,1038.8030764027533,756.2150334887916,491.2499788900225,197.4749186838122,804.5276488751251
