Index,Date,AAPL,HII,MCHP,MSFT,NVDA,NVO,PFE,TSMC34.SA
1,2023-12-11,193.17999267578125,250.3800048828125,88.91000366210938,371.29998779296875,46.62699890136719,96.6500015258789,28.639999389648438,62.41999816894531
2,2023-12-12,194.7100067138672,254.47999572753906,89.2300033569336,374.3800048828125,47.65700149536133,96.20999908447266,28.579999923706055,62.810001373291016
3,2023-12-13,197.9600067138672,257.5899963378906,89.86000061035156,374.3699951171875,48.0880012512207,98.9000015258789,26.65999984741211,63.20000076293945
4,2023-12-14,198.11000061035156,255.8300018310547,92.95999908447266,365.92999267578125,48.349998474121094,98.0,26.1299991607666,63.720001220703125
5,2023-12-15,197.57000732421875,253.5500030517578,92.19999694824219,370.7300109863281,48.88999938964844,97.0999984741211,26.6299991607666,63.47999954223633
6,2023-12-18,195.88999938964844,255.02000427246094,91.30999755859375,372.6499938964844,50.07699966430664,98.9800033569336,27.059999465942383,63.20000076293945
7,2023-12-19,196.94000244140625,257.010009765625,91.38999938964844,373.260009765625,49.604000091552734,99.98999786376953,28.15999984741211,63.099998474121094
8,2023-12-20,194.8300018310547,252.42999267578125,88.55000305175781,370.6199951171875,48.111000061035156,101.30999755859375,27.6299991607666,61.5
9,2023-12-21,194.67999267578125,254.02000427246094,89.87999725341797,373.5400085449219,48.9900016784668,103.4800033569336,28.309999465942383,62.54999923706055
10,2023-12-22,193.60000610351562,256.0899963378906,90.19000244140625,374.5799865722656,48.83000183105469,102.70999908447266,28.399999618530273,62.939998626708984
11,2023-12-26,193.0500030517578,257.8299865722656,91.30999755859375,374.6600036621094,49.27899932861328,102.68000030517578,28.40999984741211,63.40999984741211
12,2023-12-27,193.14999389648438,258.30999755859375,91.12000274658203,374.07000732421875,49.41699981689453,103.68000030517578,28.610000610351562,63.11000061035156
13,2023-12-28,193.5800018310547,258.4700012207031,90.83999633789062,375.2799987792969,49.52199935913086,103.47000122070312,28.790000915527344,63.18000030517578
14,2024-01-02,185.63999938964844,260.1099853515625,86.55999755859375,370.8699951171875,48.167999267578125,102.11000061035156,29.729999542236328,62.470001220703125
15,2024-01-03,184.25,256.29998779296875,84.56999969482422,370.6000061035156,47.569000244140625,103.62000274658203,29.729999542236328,61.61000061035156
16,2024-01-04,181.91000366210938,256.32000732421875,83.4000015258789,367.94000244140625,47.99800109863281,107.62999725341797,29.09000015258789,61.099998474121094
17,2024-01-05,181.17999267578125,252.5,83.98999786376953,367.75,49.09700012207031,105.9800033569336,29.469999313354492,60.54999923706055
18,2024-01-08,185.55999755859375,255.36000061035156,85.63999938964844,374.69000244140625,52.25299835205078,106.4000015258789,29.579999923706055,62.400001525878906
19,2024-01-09,185.13999938964844,253.24000549316406,85.33999633789062,375.7900085449219,53.13999938964844,106.94999694824219,29.399999618530273,62.5
20,2024-01-10,186.19000244140625,252.82000732421875,85.44000244140625,382.7699890136719,54.349998474121094,108.66999816894531,28.989999771118164,61.540000915527344
21,2024-01-11,185.58999633789062,250.6300048828125,85.69999694824219,384.6300048828125,54.821998596191406,106.69000244140625,28.399999618530273,61.90999984741211
22,2024-01-12,185.9199981689453,254.67999267578125,85.41000366210938,388.4700012207031,54.709999084472656,107.16000366210938,28.700000762939453,61.650001525878906
23,2024-01-16,183.6300048828125,255.17999267578125,85.16000366210938,390.2699890136719,56.38199996948242,106.3499984741211,28.31999969482422,62.529998779296875
24,2024-01-17,182.67999267578125,254.80999755859375,83.33999633789062,389.4700012207031,56.053001403808594,106.68000030517578,28.149999618530273,63.97999954223633
25,2024-01-18,188.6300048828125,260.19000244140625,86.16000366210938,393.8699951171875,57.106998443603516,107.55000305175781,28.09000015258789,70.0
26,2024-01-19,191.55999755859375,256.2300109863281,89.44000244140625,398.6700134277344,59.49100112915039,106.95999908447266,28.280000686645508,70.44000244140625
27,2024-01-22,193.88999938964844,256.7699890136719,90.73999786376953,396.510009765625,59.65399932861328,105.48999786376953,28.309999465942383,70.1500015258789
28,2024-01-23,195.17999267578125,255.80999755859375,91.98999786376953,398.8999938964844,59.87300109863281,105.37000274658203,28.43000030517578,70.9800033569336
29,2024-01-24,194.5,253.63999938964844,90.55999755859375,402.55999755859375,61.36199951171875,105.20999908447266,28.329999923706055,72.0
30,2024-01-25,194.1699981689453,254.39999389648438,89.6500015258789,404.8699951171875,61.617000579833984,105.68000030517578,27.469999313354492,72.98999786376953
31,2024-01-26,192.4199981689453,255.64999389648438,86.91999816894531,403.92999267578125,61.03099822998047,108.06999969482422,27.469999313354492,71.95999908447266
32,2024-01-29,191.72999572753906,258.5899963378906,87.2300033569336,409.7200012207031,62.46500015258789,109.0199966430664,27.479999542236328,72.19999694824219
33,2024-01-30,188.0399932861328,260.32000732421875,85.95999908447266,408.5899963378906,62.77399826049805,109.0199966430664,27.020000457763672,71.75
34,2024-01-31,184.39999389648438,258.9200134277344,85.18000030517578,397.5799865722656,61.527000427246094,114.73999786376953,27.079999923706055,70.26000213623047
35,2024-02-01,186.86000061035156,267.80999755859375,85.6500015258789,403.7799987792969,63.027000427246094,115.79000091552734,27.290000915527344,73.16999816894531
36,2024-02-02,185.85000610351562,268.5,84.29000091552734,411.2200012207031,66.16000366210938,113.69999694824219,26.93000030517578,71.75
37,2024-02-05,187.67999267578125,265.92999267578125,85.45999908447266,405.6499938964844,69.33200073242188,118.26000213623047,26.56999969482422,74.0
38,2024-02-06,189.3000030517578,266.2200012207031,83.25,405.489990234375,68.2229995727539,117.61000061035156,27.5,73.8499984741211
