Index,Date,AAPL,BTC-USD,COIN,ETH,IAG,LLY,MSFT,NVDA,PLTR,TSLA
1,2023-12-11,193.17999267578125,41243.83203125,138.02000427246094,0.0,2.2100000381469727,584.0399780273438,371.29998779296875,46.62699890136719,17.770000457763672,239.74000549316406
2,2023-12-12,194.7100067138672,41450.22265625,139.6199951171875,0.0,2.119999885559082,584.760009765625,374.3800048828125,47.65700149536133,17.5,237.00999450683594
3,2023-12-13,197.9600067138672,42890.7421875,150.4600067138672,0.0,2.380000114440918,597.5,374.3699951171875,48.0880012512207,17.8700008392334,239.2899932861328
4,2023-12-14,198.11000061035156,43023.97265625,153.6300048828125,0.0,2.440000057220459,573.6699829101562,365.92999267578125,48.349998474121094,18.209999084472656,251.0500030517578
5,2023-12-15,197.57000732421875,41929.7578125,147.89999389648438,0.0,2.440000057220459,572.0399780273438,370.7300109863281,48.88999938964844,18.200000762939453,253.5
6,2023-12-18,195.88999938964844,42623.5390625,153.42999267578125,0.0,2.549999952316284,579.760009765625,372.6499938964844,50.07699966430664,17.84000015258789,252.0800018310547
7,2023-12-19,196.94000244140625,42270.52734375,161.16000366210938,0.0,2.680000066757202,579.8099975585938,373.260009765625,49.604000091552734,17.950000762939453,257.2200012207031
8,2023-12-20,194.8300018310547,43652.25,161.86000061035156,0.0,2.609999895095825,570.2100219726562,370.6199951171875,48.111000061035156,17.25,247.13999938964844
9,2023-12-21,194.67999267578125,43869.15234375,168.02999877929688,0.0,2.6500000953674316,572.0,373.5400085449219,48.9900016784668,17.59000015258789,254.5
10,2023-12-22,193.60000610351562,43997.90234375,175.47999572753906,0.0,2.640000104904175,570.3900146484375,374.5799865722656,48.83000183105469,17.40999984741211,252.5399932861328
11,2023-12-26,193.0500030517578,42520.40234375,172.0500030517578,0.0,2.630000114440918,570.6699829101562,374.6600036621094,49.27899932861328,17.68000030517578,256.6099853515625
12,2023-12-27,193.14999389648438,43442.85546875,185.24000549316406,0.0,2.640000104904175,581.510009765625,374.07000732421875,49.41699981689453,17.469999313354492,261.44000244140625
13,2023-12-28,193.5800018310547,42627.85546875,186.36000061035156,0.0,2.549999952316284,580.8499755859375,375.2799987792969,49.52199935913086,17.559999465942383,253.17999267578125
14,2023-12-29,192.52999877929688,42099.40234375,173.9199981689453,0.0,2.5299999713897705,582.9199829101562,376.0400085449219,49.52199935913086,17.170000076293945,248.47999572753906
15,2024-01-02,185.63999938964844,44957.96875,156.8800048828125,0.0,2.440000057220459,592.2000122070312,370.8699951171875,48.167999267578125,16.579999923706055,248.4199981689453
16,2024-01-03,184.25,42848.17578125,152.24000549316406,0.0,2.390000104904175,617.7000122070312,370.6000061035156,47.569000244140625,16.09000015258789,238.4499969482422
17,2024-01-04,181.91000366210938,44179.921875,155.60000610351562,0.0,2.4000000953674316,614.5,367.94000244140625,47.99800109863281,16.25,237.92999267578125
18,2024-01-05,181.17999267578125,44162.69140625,153.97999572753906,0.0,2.359999895095825,618.5499877929688,367.75,49.09700012207031,15.979999542236328,237.49000549316406
19,2024-01-08,185.55999755859375,46970.50390625,159.4199981689453,0.0,2.369999885559082,626.030029296875,374.69000244140625,52.25299835205078,16.670000076293945,240.4499969482422
20,2024-01-09,185.13999938964844,46139.73046875,151.99000549316406,0.0,2.359999895095825,625.47998046875,375.7900085449219,53.13999938964844,16.389999389648438,234.9600067138672
21,2024-01-10,186.19000244140625,46627.77734375,151.2899932861328,0.0,2.390000104904175,630.1900024414062,382.7699890136719,54.349998474121094,16.790000915527344,233.94000244140625
22,2024-01-11,185.58999633789062,46368.5859375,141.16000366210938,0.0,2.359999895095825,635.719970703125,384.6300048828125,54.821998596191406,16.68000030517578,227.22000122070312
23,2024-01-12,185.9199981689453,42853.16796875,130.77999877929688,0.0,2.609999895095825,642.9199829101562,388.4700012207031,54.709999084472656,16.760000228881836,218.88999938964844
24,2024-01-16,183.6300048828125,43154.9453125,133.8800048828125,0.0,2.5,634.5700073242188,390.2699890136719,56.38199996948242,16.530000686645508,219.91000366210938
25,2024-01-17,182.67999267578125,42742.65234375,133.86000061035156,0.0,2.4700000286102295,628.9099731445312,389.4700012207031,56.053001403808594,16.389999389648438,215.5500030517578
26,2024-01-18,188.6300048828125,41262.05859375,124.33999633789062,0.0,2.3399999141693115,623.3499755859375,393.8699951171875,57.106998443603516,16.399999618530273,211.8800048828125
27,2024-01-19,191.55999755859375,41618.40625,124.75,0.0,2.319999933242798,628.5800170898438,398.6700134277344,59.49100112915039,16.780000686645508,212.19000244140625
28,2024-01-22,193.88999938964844,39507.3671875,128.2100067138672,0.0,2.299999952316284,630.8800048828125,396.510009765625,59.65399932861328,17.600000381469727,208.8000030517578
29,2024-01-23,195.17999267578125,39845.55078125,124.19000244140625,0.0,2.640000104904175,629.6799926757812,398.8999938964844,59.87300109863281,17.329999923706055,209.13999938964844
30,2024-01-24,194.5,40077.07421875,121.33999633789062,0.0,2.5,633.7000122070312,402.55999755859375,61.36199951171875,16.75,207.8300018310547
31,2024-01-25,194.1699981689453,39933.80859375,121.01000213623047,0.0,2.509999990463257,627.6199951171875,404.8699951171875,61.617000579833984,16.459999084472656,182.6300048828125
32,2024-01-26,192.4199981689453,41816.87109375,125.19999694824219,0.0,2.4200000762939453,639.25,403.92999267578125,61.03099822998047,16.350000381469727,183.25
33,2024-01-29,191.72999572753906,43288.24609375,132.82000732421875,0.0,2.4600000381469727,645.0,409.7200012207031,62.46500015258789,17.09000015258789,190.92999267578125
