Index,Date,AAPL,BTC-USD,COIN,ETH,IAG,LLY,MSFT,NVDA,PLTR,TSLA
251,2024-12-09,1200.0,1250.0,500.0,750.0,500.0,1000.0,1200.0,1500.0,1000.0,1100.0
252,2024-12-10,1204.9605071001138,1240.284461521043,486.95740069477324,731.5156030307069,508.1227575097119,995.0222754238141,1192.7626496363405,1459.5851491230346,978.3328772472943,1131.6067102499335
253,2024-12-11,1198.735589024506,1297.9858376629772,505.29757932069396,768.9093358828047,534.2960394456226,990.604560053259,1207.9906765450696,1505.4030690381896,1000.6900780070329,1198.714635244917
254,2024-12-12,1205.8845311312691,1283.48825327221,503.9288975391836,779.1076266606497,501.80505244261985,973.5806751631399,1209.5242598057102,1484.1149638366364,1010.2125016991355,1179.8917279350023
255,2024-12-13,1206.7112699468084,1301.6579429651295,500.0966082067443,785.6940582468624,481.94947557380124,982.0054983136303,1203.363077971723,1450.7240367538848,1049.8205997234843,1231.0551875771328
256,2024-12-16,1220.8631892334727,1360.294058688576,507.71288276825067,810.9773157347188,479.24187539194895,969.4118612122038,1214.9858951475326,1426.4102260820318,1045.404374235389,1306.6573712762101
257,2024-12-17,1232.729462504749,1361.7166148627564,501.80346785133423,788.0311817467705,479.24187539194895,968.9389713011423,1222.707509033585,1409.0123371835184,1026.6353895882032,1354.1803851185334
258,2024-12-18,1206.3222032912233,1283.4695103704578,450.6311916352035,739.164341376293,458.4837507838979,951.6289675072375,1176.7813786525971,1393.0192989992802,986.8893601953445,1242.0610963795345
259,2024-12-19,1214.7841618778496,1250.7471101051462,441.0666351911953,676.2748005307725,459.3862985231303,942.7063415175088,1175.812769501415,1412.1460446746923,1024.1512561704544,1230.8858725279874
260,2024-12-20,1237.641364100494,1254.1465913818092,448.77946881997156,688.8101742841202,469.3140654396172,955.4244673057693,1174.6558903846774,1455.5867659105388,1111.6478618479414,1188.2449194720057
261,2024-12-23,1241.4346712338527,1214.7644472291295,431.7757364803301,680.9490070061834,467.50901299699734,990.9156678392707,1171.0237497539374,1509.2932853412294,1113.579953918288,1215.1671318667975
262,2024-12-24,1255.683949943009,1265.9517128326054,450.2447588082262,701.9830374565457,464.8014558509899,990.1565071163247,1182.000800126827,1515.236694260954,1136.9030954220789,1304.569094922357
263,2024-12-26,1259.6716790938451,1228.995722047939,441.8556185927653,666.501448666439,469.3140654396172,988.2525669620393,1178.7184327421696,1512.1028218811985,1133.5909526287878,1281.5695487831451
264,2024-12-27,1242.990863649316,1208.0754363507895,427.84683894114653,667.5637554258126,465.70396055437743,974.6011178157439,1158.3247640484556,1480.5489184848013,1091.3607898181801,1218.1584792304864
265,2024-12-30,1226.5045444291413,1188.553651766748,411.5032954405742,680.0991291791604,456.67869834127805,962.9906299287057,1142.9890956548406,1485.735983481242,1065.1394049177482,1177.94451874824
266,2024-12-31,1217.8480154112842,1198.6374331389577,399.81323559950505,669.0510010986977,465.70396055437743,960.7008432038785,1134.0298920649848,1451.156209725964,1043.748250193183,1139.649519570701
267,2025-01-02,1185.896686217705,1242.9971708040837,414.1601194049917,691.7847466787008,503.6101048852397,968.2545493627266,1126.1737057962257,1494.5969309618106,1037.6760059540022,1070.3404128152374
268,2025-01-03,1183.513680779825,1258.6561134975514,435.801242226258,721.7422511663734,497.29244285399267,973.1202417161666,1139.007263884414,1561.1627810855648,1102.539337552489,1158.2749500710072
269,2025-01-06,1191.4893617021276,1309.5971154132965,463.3518291039151,738.31446354927,486.4620851624284,952.1142379283382,1151.1143445826167,1614.7611336067991,1047.750470993507,1159.9963484445148
270,2025-01-07,1177.9210052954027,1243.4568229294125,425.62475190707846,678.8243934874364,494.5848426721404,962.3061320362407,1136.3705811962807,1514.3721834282137,965.9122101585506,1112.8966222250547
271,2025-01-08,1180.3039365264058,1219.3481391165121,418.66871532411557,657.152995191212,509.92780995233176,979.6410487583221,1142.262700371251,1514.048012477009,941.6230226195862,1114.5334491955814
272,2025-01-10,1151.8541330262158,1214.959593912081,416.6881488069083,653.116156561663,511.7328623949516,995.4205025043948,1127.1692458452283,1468.6622655339336,928.2363094956693,1113.969008284036
273,2025-01-13,1139.9391800436929,1212.5870632843753,404.4828124368865,619.3342829011973,493.682294932908,992.408924448887,1122.4340057869956,1439.7017297471752,896.7706897315992,1138.1538458888565
274,2025-01-14,1134.4923952792553,1238.4706096867485,411.1973530727258,645.2549892837263,501.80505244261985,926.9891700918779,1118.344532531683,1423.8166935838115,909.6053615081142,1118.540686854142
275,2025-01-15,1156.814565919453,1289.4089054081228,442.6929060977076,687.9603775059077,481.94947557380124,929.2665003526167,1146.9710095316632,1472.2283108857682,940.3809032651513,1208.450681178729
276,2025-01-16,1110.0790006411473,1279.8178518702168,453.4812811525841,668.2011637960799,491.8772424902881,942.7810043479896,1142.316480060496,1443.375942008466,955.5616717997843,1167.8134330736193
277,2025-01-17,1118.443748219035,1340.181722355202,475.78259281291946,705.1699577346662,503.6101048852397,903.1085333994639,1154.289070482388,1488.1133470491318,990.4774710167763,1203.5967821528502
278,2025-01-21,1082.7477173964664,1361.78928119308,473.7054180889678,663.5269167962638,520.758124608051,923.8034294012808,1152.8631287066335,1521.8284450830886,1008.4184462884195,1196.7392642976913
