Index,Date,AAPL,AMZN,BABA,BRK-A,FXAIX,MSCI,MSFT,NVDA,SWPPX,TGT
251,2024-12-09,1500.0,1000.0,500.0,1000.0,1000.0,1000.0,1000.0,1500.0,1000.0,500.0
252,2024-12-10,1506.2006338751423,995.3558181752164,486.51430961871455,997.7878648586533,997.0104416229478,1016.9927401222716,993.9688746969504,1459.5851491230346,997.0197042214793,499.1130525305466
253,2024-12-11,1498.4194862806326,1018.4439746848121,481.9107650079538,992.1081360606757,1005.172550746354,1017.9627895740704,1006.6588971208914,1505.4030690381896,1005.2155988193805,502.55008676047066
254,2024-12-12,1507.3556639140863,1012.7383118645743,483.26475114761155,986.6266375545852,999.7627150725023,1028.2780763692401,1007.9368831714253,1484.1149638366364,999.7871565330926,500.0
255,2024-12-13,1508.3890874335107,1006.059579805243,475.6282494861604,985.310848080901,999.8576435253401,1010.6709386999797,1002.8025649764359,1450.7240367538848,988.0788168859174,497.15430167830897
256,2024-12-16,1526.078986541841,1030.2534231884736,466.09617549326407,982.2282233969203,1003.7963416123835,999.8059901096402,1012.4882459562772,1426.4102260820318,991.9106489460066,489.50404139689715
257,2024-12-17,1540.9118281309366,1022.3804575193658,471.99957654876835,982.7051252585612,999.9051439563558,988.6822958771221,1018.9229241946542,1409.0123371835184,988.0788168859174,486.36267512108964
258,2024-12-18,1507.9027541140292,975.3638278754034,460.35528748363606,963.4825327510918,970.4361227454583,966.6936530542644,980.6511488771642,1393.0192989992802,959.020770631402,483.03645293195126
259,2024-12-19,1518.4802023473121,987.6155376305406,456.6182725156598,967.1253734773614,969.5819838974987,971.0267050765461,979.8439745845126,1412.1460446746923,958.1692343498335,482.03858063592014
260,2024-12-20,1547.0517051256174,994.8250776774893,445.6239116728993,980.3780740059757,976.7475252890919,977.8496164801435,978.8799086538978,1455.5867659105388,968.6003507816253,485.9191449934669
261,2024-12-23,1551.793339042316,995.4442974214678,461.1135164162142,979.6584118593427,983.9130666806851,978.8520338078517,975.8531247949478,1509.2932853412294,975.7317844240811,487.5452905446595
262,2024-12-24,1569.6049374287616,1013.092161359689,463.17156047315797,987.4770167777523,994.7800936410174,982.877887056639,985.0006667723559,1515.236694260954,986.4822066597186,489.31924187646234
263,2024-12-26,1574.5895988673062,1004.2461264514882,466.20451752384827,987.7039760974488,994.4953806916975,987.8253366259095,982.2653606184747,1512.1028218811985,986.1629008558727,504.0653638779815
264,2024-12-27,1553.738579561645,989.6501553549786,460.6802309346331,983.8384854056538,983.5809257095432,985.5942228867724,965.2706367070464,1480.5489184848013,975.3060162832967,500.7761354286678
265,2024-12-30,1533.1306805364268,978.8137760904106,455.6434008422911,974.0864169156515,973.0461121295464,969.5230790849838,952.4909130457004,1485.735983481242,964.8749810584743,499.1130525305466
266,2024-12-31,1522.3100192641052,970.365796555505,459.21794408476893,978.1084808090095,968.9650575678432,970.105108756063,945.024910054154,1451.156209725964,960.8302243245082,499.59346361220184
267,2025-01-02,1482.3708577721313,974.0369091411952,460.0844737275534,970.322914272581,966.8296380387507,965.4486740223323,938.4780881635214,1494.5969309618106,958.8079271644946,507.0219870262503
268,2025-01-03,1479.3921009747814,991.5962938331653,463.27990250374216,978.8841645598712,979.0728017238602,972.4817792542442,949.1727199036783,1561.1627810855648,970.9420349524542,501.8478824185559
269,2025-01-06,1489.3617021276596,1006.7230054274019,463.17156047315797,971.9087566076764,984.5774210321626,964.6887197162996,959.2619538188471,1614.7611336067991,976.3704772387422,514.7830593484478
270,2025-01-07,1472.4012566192534,982.3964094298494,457.5390144941142,974.7184555274649,973.6629660500082,956.0711674856003,946.9754843302338,1514.3721834282137,965.5135926661661,514.6352535678376
271,2025-01-08,1475.3799206580072,982.4848886761007,453.26041333435035,973.8063088945071,975.2289596804611,973.6943904102667,951.8855836427091,1514.048012477009,967.0037405554265,510.8286202970439
272,2025-01-10,1439.8176662827698,968.3754521991378,436.146008695295,952.3672718915192,960.3758790204571,930.8487962308003,939.3077048710236,1468.6622655339336,952.3151051297306,523.3941981860661
273,2025-01-13,1424.9239750546162,966.2524227183388,436.2001797105871,957.0788324523098,961.8943722198943,938.5934026374293,935.3616714891631,1439.7017297471752,953.8052530189909,512.8613022360348
274,2025-01-14,1418.115494099069,963.1562565085563,442.3743532017962,970.6963916341072,962.9857959953516,947.1301338609034,931.9537771097358,1423.8166935838115,954.9760951044054,504.36103183209804
275,2025-01-15,1446.0182073993162,987.8809753692946,446.49048263606164,988.9967823488853,980.7336513979573,971.7057396928052,955.8091746097192,1472.2283108857682,972.5386451786528,497.1912390252375
276,2025-01-16,1387.5987508014343,975.9830476193819,446.4363116207695,995.322914272581,978.6456598906867,986.2085217512126,951.9304000504133,1443.375942008466,970.5162668116698,492.4606645451659
277,2025-01-17,1398.0546852737937,999.3365743778411,461.00521570600785,1009.4805791772005,988.4686910973837,989.5230711903799,961.9075587353234,1488.1133470491318,980.202228091862,493.79114214224205
278,2025-01-21,1353.4346467455832,1020.4343865310697,462.4133315405799,1009.1832337393703,997.1527980976077,998.1891752349435,960.7192739221945,1521.8284450830886,988.8238908305476,507.5763291946587
